Filename,Target,Jupiter Host,Facility
ADP_2014_09_17T11_21_36.277,HD23456,N,HARPS
ADP_2014_10_02T10_00_41.887,HD179949,Y,HARPS
ADP_2016_09_27T09_50_39.297,HIP41926,N,FEROS
ADP_2016_09_28T06_54_50.817,tauCeti,N,FEROS
ADP_2014_09_26T16_51_35.497,HD1320,N,HARPS
ADP_2014_09_18T12_11_27.103,HD137388,Y,HARPS
ADP_2014_09_25T15_33_29.210,HD176986,N,HARPS
ADP_2014_10_02T09_59_49.887,HD222595,N,HARPS
ADP_2014_09_18T12_17_32.273,HD154962,N,HARPS
ADP_2016_12_01T01_01_58.595,HD28471,N,HARPS
ADP_2014_10_01T10_22_08.570,HD215456,N,HARPS
ADP_2014_10_02T10_01_09.230,HD132648,N,HARPS
ADP_2014_09_25T15_34_10.890,HD55,N,HARPS
ADP_2014_09_25T15_34_57.943,HD106275,N,HARPS
ADP_2014_09_16T11_06_10.107,HD32724,N,HARPS
ADP_2014_09_16T11_04_03.080,HD166724,Y,HARPS
ADP_2014_10_01T10_20_16.700,HD221146,N,HARPS
ADP_2014_09_17T11_20_18.327,HD171990,N,HARPS
ADP_2014_10_02T10_01_33.290,HD144411,N,HARPS
ADP_2015_07_24T23_55_41.327,HIP95962,N,HARPS
ADP_2015_07_01T08_16_53.537,HD142709,N,HARPS
ADP_2015_09_14T02_00_36.927,HD192961,N,HARPS
ADP_2014_09_29T13_27_17.903,HD11226,N,HARPS
ADP_2014_09_17T11_21_23.567,HD162396,N,HARPS
ADP_2014_09_25T15_33_18.183,HD16417,N,HARPS
ADP_2014_09_17T11_20_32.773,HD211038,N,HARPS
ADP_2015_10_13T02_01_03.217,HD195564,N,HARPS
ADP_2014_09_24T09_41_12.553,HD73524,N,HARPS
ADP_2014_09_18T12_14_00.273,HD38858,N,HARPS
ADP_2014_10_06T10_04_21.913,HD134606,N,HARPS
ADP_2014_09_25T15_35_30.917,HD109409,N,HARPS
ADP_2014_10_02T10_00_51.823,HD196050,Y,HARPS
ADP_2014_09_18T12_17_08.400,HD82516,N,HARPS
ADP_2014_09_23T11_05_11.843,HD95456,N,HARPS
ADP_2016_09_20T08_08_12.924,HD128620,N,FEROS
ADP_2014_09_25T15_33_19.183,HD65277,N,HARPS
ADP_2014_09_26T16_53_22.027,HD38382,N,HARPS
ADP_2016_08_06T01_12_04.921,HD215152,N,HARPS
ADP_2014_09_17T11_22_50.020,HD88742,N,HARPS
ADP_2016_08_12T01_03_10.581,HD168746,Y,HARPS
ADP_2014_09_16T11_05_46.610,HD100508,N,HARPS
ADP_2014_10_01T10_23_39.280,HD207700,N,HARPS
ADP_2014_10_02T10_00_33.923,HD188559,N,HARPS
ADP_2014_10_01T10_23_40.017,HD23356,N,HARPS
ADP_2014_10_01T10_22_48.467,HD85119,N,HARPS
ADP_2016_09_27T11_56_46.661,HD72673,N,FEROS
ADP_2014_09_17T11_23_33.797,HD138549,N,HARPS
ADP_2014_09_26T16_54_23.423,HD90156,N,HARPS
ADP_2014_09_16T11_05_09.857,HD189625,N,HARPS
ADP_2014_09_16T11_06_53.367,HD45364,Y,HARPS
ADP_2014_09_18T12_11_11.653,HD38858,N,HARPS
ADP_2014_09_16T11_05_07.750,HD83443,Y,HARPS
ADP_2016_10_02T01_02_55.811,HD35854,N,HARPS
ADP_2014_10_06T10_05_58.430,HD114853,N,HARPS
ADP_2015_12_01T02_01_28.747,HD210277,Y,HARPS
ADP_2014_09_17T11_24_12.270,GJ1048,N,HARPS
ADP_2014_10_06T10_06_14.233,HIP85042,N,HARPS
ADP_2014_09_26T16_51_36.563,HD40307,N,HARPS
ADP_2017_09_05T11_25_17.691,HD6434,Y,FEROS
ADP_2014_09_18T12_11_00.927,HD4307,N,HARPS
ADP_2014_09_26T16_52_15.197,HD145809,N,HARPS
ADP_2014_09_16T11_04_43.713,HD136894,N,HARPS
ADP_2014_10_06T10_04_39.623,HIP14501,N,HARPS
ADP_2014_09_23T11_02_47.063,HD199960,N,HARPS
ADP_2014_09_18T12_15_55.410,HD16417,N,HARPS
ADP_2019_04_11T03_42_03.565,HD196800,N,HARPS
ADP_2014_09_24T09_44_21.867,HD95456,N,HARPS
ADP_2014_10_02T10_03_13.520,HD160691,Y,HARPS
ADP_2016_09_27T09_50_46.093,HD10700,N,FEROS
ADP_2014_09_24T09_41_37.187,HD134060,N,HARPS
ADP_2018_12_26T01_09_14.675,HD52265,Y,HARPS
ADP_2016_09_27T07_02_49.639,HD10700,N,FEROS
ADP_2014_10_01T10_20_51.057,HD189625,N,HARPS
ADP_2014_09_18T12_14_28.100,HD21019,N,HARPS
ADP_2014_10_02T10_02_12.513,HD100777,Y,HARPS
ADP_2014_09_24T09_41_54.087,HD45184,N,HARPS
ADP_2014_09_26T16_53_02.717,HD11505,N,HARPS
ADP_2014_10_01T10_19_41.157,HD112540,N,HARPS
ADP_2014_09_16T11_05_24.497,HD157338,N,HARPS
ADP_2014_09_23T11_05_14.123,HD63454,Y,HARPS
ADP_2014_09_24T09_43_12.087,HD110619,N,HARPS
ADP_2014_09_25T15_36_58.810,HIP115577,N,HARPS
ADP_2014_09_29T13_27_05.900,HD203432,N,HARPS
ADP_2014_10_02T10_00_08.757,HD1461,N,HARPS
ADP_2016_09_27T09_50_41.411,HD72673,N,FEROS
ADP_2014_09_18T12_11_16.547,HD137388,Y,HARPS
ADP_2014_09_25T15_33_52.020,HD283,N,HARPS
ADP_2014_09_23T11_01_01.953,HD47186,Y,HARPS
ADP_2014_09_24T09_44_14.410,HD71479,N,HARPS
ADP_2014_09_18T12_16_48.420,HD123265,N,HARPS
ADP_2014_10_02T10_01_10.550,HD50806,N,HARPS
ADP_2015_10_17T02_01_00.767,HD195564,N,HARPS
