Feature,LabelType,GiantPlanetBinSampleSize,GiantPlanet_2Sigma_Threshold,GiantPlanet_3Sigma_Threshold,LowMassPlanetBinSampleSize,LowMassPlanet_2Sigma_Threshold,LowMassPlanet_3Sigma_Threshold,MultiPlanetBinSampleSize,MultiPlanet_2Sigma_Threshold,MultiPlanet_3Sigma_Threshold
Al,Comparison,5609 - 7477,0.8,0.8,5509 - 7344,0.7,0.5,5705 - 7605,0.8,0.7
Al,Host,490 - 612,0.8,0.8,621 - 775,0.8,0.8,363 - 453,0.2,0.2
BaII,Comparison,3739 - 5608,1.0,1.0,3673 - 5508,1.0,1.0,3803 - 5704,1.0,1.0
BaII,Host,245 - 367,0.9,0.8,0 - 155,0.7,0.5,91 - 181,0.8,0.7
C,Comparison,5609 - 7477,0.8,0.8,5509 - 7344,0.7,0.5,5705 - 7605,0.8,0.6
C,Host,490 - 612,0.8,0.8,621 - 775,0.2,0.2,363 - 453,0.5,0.2
Ca,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
Ca,Host,490 - 612,0.9,0.9,621 - 775,1.0,0.9,363 - 453,0.9,0.9
CeII,Host,123 - 244,0.2,0.2,0 - 155,0.5,0.2,0 - 90,0.2,0.2
CeII,Comparison,3739 - 5608,1.0,0.9,3673 - 5508,1.0,0.9,3803 - 5704,1.0,0.9
Co,Host,368 - 489,0.9,0.8,0 - 155,0.8,0.7,91 - 181,0.8,0.8
Co,Comparison,3739 - 5608,1.0,0.9,5509 - 7344,1.0,0.9,3803 - 5704,1.0,0.9
Cr,Comparison,5609 - 7477,1.0,1.0,5509 - 7344,1.0,1.0,5705 - 7605,1.0,1.0
Cr,Host,490 - 612,1.0,0.9,621 - 775,1.0,0.9,363 - 453,0.9,0.9
CrII,Comparison,1870 - 3738,0.9,0.8,1837 - 3672,0.8,0.8,1902 - 3802,0.8,0.8
CrII,Host,245 - 367,0.8,0.7,0 - 155,0.2,0.2,91 - 181,0.7,0.5
Cu,Comparison,3739 - 5608,1.0,0.9,3673 - 5508,1.0,0.9,3803 - 5704,1.0,0.9
Cu,Host,245 - 367,0.9,0.8,0 - 155,0.8,0.7,0 - 90,0.8,0.8
EuII,Comparison,1870 - 3738,1.0,1.0,3673 - 5508,1.0,1.0,3803 - 5704,1.0,1.0
EuII,Host,123 - 244,0.6,0.5,0 - 155,0.6,0.4,0 - 90,0.4,0.2
Fe,Host,490 - 612,0.9,0.8,621 - 775,0.8,0.7,363 - 453,0.8,0.7
Fe,Comparison,7478 - 9347,0.2,0.2,7345 - 9181,0.2,0.2,7606 - 9507,0.2,0.2
LaII,Comparison,1870 - 3738,1.0,0.9,1837 - 3672,1.0,0.9,1902 - 3802,1.0,0.9
LaII,Host,123 - 244,0.2,0.2,0 - 155,0.2,0.2,0 - 90,0.2,0.2
Li,Comparison,1870 - 3738,0.9,0.8,1837 - 3672,0.9,0.8,1902 - 3802,0.9,0.8
Li,Host,245 - 367,0.2,0.2,0 - 155,0.2,0.2,0 - 90,0.5,0.2
Mg,Host,490 - 612,0.6,0.5,621 - 775,0.9,0.8,363 - 453,0.8,0.6
Mg,Comparison,7478 - 9347,1.0,0.9,5509 - 7344,1.0,0.9,7606 - 9507,1.0,0.9
Mn,Comparison,5609 - 7477,1.0,0.9,5509 - 7344,0.9,0.9,5705 - 7605,1.0,0.9
Mn,Host,490 - 612,0.8,0.7,621 - 775,0.8,0.8,363 - 453,0.5,0.2
N,Host,368 - 489,0.2,0.2,621 - 775,0.9,0.8,363 - 453,0.8,0.7
N,Comparison,1870 - 3738,0.9,0.8,1837 - 3672,0.8,0.6,1902 - 3802,0.9,0.8
Na,Comparison,5609 - 7477,0.9,0.8,5509 - 7344,0.8,0.8,5705 - 7605,0.9,0.8
Na,Host,490 - 612,0.8,0.7,621 - 775,0.9,0.8,363 - 453,0.7,0.5
NdII,Comparison,3739 - 5608,0.4,0.2,3673 - 5508,0.2,0.2,3803 - 5704,0.2,0.2
NdII,Host,123 - 244,0.8,0.7,0 - 155,0.2,0.2,0 - 90,0.7,0.5
Ni,Host,490 - 612,0.9,0.9,621 - 775,0.9,0.9,363 - 453,0.9,0.9
Ni,Comparison,7478 - 9347,1.0,1.0,5509 - 7344,1.0,1.0,7606 - 9507,1.0,1.0
O,Host,490 - 612,0.5,0.2,621 - 775,0.8,0.8,363 - 453,0.7,0.5
O,Comparison,5609 - 7477,1.0,0.9,5509 - 7344,1.0,0.9,5705 - 7605,1.0,0.9
S,Comparison,1870 - 3738,0.9,0.9,1837 - 3672,0.9,0.9,1902 - 3802,0.9,0.9
S,Host,245 - 367,0.6,0.2,0 - 155,0.8,0.6,0 - 90,0.5,0.2
Sc,Host,368 - 489,0.8,0.7,0 - 155,0.2,0.2,91 - 181,0.2,0.2
