Feature,LabelType,GiantPlanetBinSampleSize,GiantPlanet_2Sigma_Threshold,GiantPlanet_3Sigma_Threshold,LowMassPlanetBinSampleSize,LowMassPlanet_2Sigma_Threshold,LowMassPlanet_3Sigma_Threshold,MultiPlanetBinSampleSize,MultiPlanet_2Sigma_Threshold,MultiPlanet_3Sigma_Threshold
Al,Comparison,5609 - 7477,0.9,0.9,5509 - 7344,0.8,0.7,5705 - 7605,0.9,0.8
Al,Host,490 - 612,0.8,0.8,621 - 775,0.9,0.8,363 - 453,0.5,0.2
BaII,Host,245 - 367,0.8,0.7,0 - 155,0.2,0.2,91 - 181,0.5,0.2
BaII,Comparison,3739 - 5608,0.5,0.4,3673 - 5508,0.2,0.2,3803 - 5704,0.2,0.2
C,Host,490 - 612,0.9,0.8,621 - 775,0.2,0.2,363 - 453,0.7,0.5
C,Comparison,5609 - 7477,0.7,0.5,5509 - 7344,0.2,0.2,5705 - 7605,0.4,0.2
Ca,Comparison,7478 - 9347,0.2,0.2,7345 - 9181,0.5,0.2,7606 - 9507,0.5,0.2
Ca,Host,490 - 612,0.9,0.8,621 - 775,0.8,0.5,363 - 453,0.8,0.7
CaII,Comparison,0 - 1869,0.5,0.2,0 - 1836,0.6,0.5,0 - 1901,0.6,0.5
CaII,Host,0 - 122,0.8,0.8,0 - 155,0.2,0.2,0 - 90,0.6,0.5
CeII,Host,123 - 244,0.8,0.8,0 - 155,0.2,0.2,0 - 90,0.7,0.5
CeII,Comparison,3739 - 5608,0.8,0.8,3673 - 5508,0.9,0.8,3803 - 5704,0.8,0.8
Co,Host,368 - 489,0.8,0.7,0 - 155,0.2,0.2,91 - 181,0.6,0.4
Co,Comparison,3739 - 5608,0.9,0.8,5509 - 7344,0.9,0.8,3803 - 5704,0.9,0.8
Cr,Comparison,5609 - 7477,0.8,0.6,5509 - 7344,0.5,0.2,5705 - 7605,0.5,0.2
Cr,Host,490 - 612,0.9,0.8,621 - 775,0.2,0.2,363 - 453,0.6,0.5
CrII,Comparison,1870 - 3738,0.9,0.9,1837 - 3672,0.9,0.9,1902 - 3802,0.9,0.9
CrII,Host,245 - 367,0.9,0.8,0 - 155,0.6,0.5,91 - 181,0.8,0.7
Cu,Comparison,3739 - 5608,0.9,0.9,3673 - 5508,1.0,0.9,3803 - 5704,1.0,0.9
Cu,Host,245 - 367,0.9,0.8,0 - 155,0.7,0.5,0 - 90,0.8,0.7
Eu,Host,0 - 122,0.8,0.8,0 - 155,0.7,0.5,0 - 90,0.7,0.6
Eu,Comparison,0 - 1869,1.0,0.9,0 - 1836,1.0,0.9,0 - 1901,1.0,0.9
EuII,Host,123 - 244,0.8,0.8,0 - 155,0.6,0.5,0 - 90,0.8,0.6
EuII,Comparison,1870 - 3738,0.8,0.7,3673 - 5508,0.8,0.7,3803 - 5704,0.8,0.7
