Feature,LabelType,GiantPlanetBinSampleSize,GiantPlanet_2Sigma_Threshold,GiantPlanet_3Sigma_Threshold,LowMassPlanetBinSampleSize,LowMassPlanet_2Sigma_Threshold,LowMassPlanet_3Sigma_Threshold,MultiPlanetBinSampleSize,MultiPlanet_2Sigma_Threshold,MultiPlanet_3Sigma_Threshold
Al,Host,490 - 612,0.8,0.7,621 - 775,0.9,0.8,363 - 453,0.7,0.5
Al,Comparison,5609 - 7477,0.9,0.9,5509 - 7344,0.9,0.8,5705 - 7605,0.9,0.8
BaII,Comparison,3739 - 5608,0.9,0.8,3673 - 5508,0.8,0.8,3803 - 5704,0.9,0.8
BaII,Host,245 - 367,0.7,0.5,0 - 155,0.2,0.2,91 - 181,0.2,0.2
C,Comparison,5609 - 7477,0.2,0.2,5509 - 7344,0.7,0.5,5705 - 7605,0.6,0.5
C,Host,490 - 612,0.9,0.8,621 - 775,0.8,0.5,363 - 453,0.8,0.7
Ca,Host,490 - 612,0.9,0.8,621 - 775,0.8,0.7,363 - 453,0.8,0.8
Ca,Comparison,7478 - 9347,0.9,0.8,7345 - 9181,0.9,0.8,7606 - 9507,0.9,0.8
CeII,Host,123 - 244,0.5,0.2,0 - 155,0.2,0.2,0 - 90,0.2,0.2
CeII,Comparison,3739 - 5608,0.9,0.9,3673 - 5508,0.9,0.8,3803 - 5704,0.9,0.9
Co,Comparison,3739 - 5608,0.9,0.8,5509 - 7344,0.9,0.8,3803 - 5704,0.9,0.8
Co,Host,368 - 489,0.8,0.7,0 - 155,0.2,0.2,91 - 181,0.5,0.2
Cr,Host,490 - 612,0.9,0.9,621 - 775,0.9,0.8,363 - 453,0.9,0.8
Cr,Comparison,5609 - 7477,1.0,0.9,5509 - 7344,1.0,0.9,5705 - 7605,1.0,0.9
CrII,Comparison,1870 - 3738,0.8,0.7,1837 - 3672,0.7,0.5,1902 - 3802,0.8,0.6
CrII,Host,245 - 367,0.8,0.8,0 - 155,0.2,0.2,91 - 181,0.7,0.5
Cu,Host,245 - 367,0.8,0.8,0 - 155,0.5,0.2,0 - 90,0.8,0.6
Cu,Comparison,3739 - 5608,0.7,0.5,3673 - 5508,0.2,0.2,3803 - 5704,0.2,0.2
EuII,Comparison,1870 - 3738,0.6,0.5,3673 - 5508,0.4,0.2,3803 - 5704,0.6,0.2
EuII,Host,123 - 244,0.8,0.7,0 - 155,0.5,0.2,0 - 90,0.7,0.5
f_u,Comparison,5609 - 7477,0.8,0.6,5509 - 7344,0.7,0.5,5705 - 7605,0.7,0.5
f_u,Host,245 - 367,0.2,0.2,0 - 155,0.2,0.2,91 - 181,0.2,0.2
f_v,Comparison,5609 - 7477,1.0,1.0,5509 - 7344,1.0,1.0,5705 - 7605,1.0,1.0
f_v,Host,245 - 367,0.8,0.8,0 - 155,0.8,0.6,91 - 181,0.7,0.5
f_w,Comparison,5609 - 7477,0.9,0.9,5509 - 7344,0.9,0.9,5705 - 7605,0.9,0.9
f_w,Host,245 - 367,0.7,0.5,0 - 155,0.6,0.4,91 - 181,0.6,0.4
Fe,Host,490 - 612,0.9,0.8,621 - 775,0.9,0.8,363 - 453,0.9,0.8
Fe,Comparison,7478 - 9347,0.9,0.9,7345 - 9181,0.9,0.9,7606 - 9507,0.9,0.9
LaII,Comparison,1870 - 3738,1.0,1.0,1837 - 3672,1.0,1.0,1902 - 3802,1.0,1.0
LaII,Host,123 - 244,0.6,0.4,0 - 155,0.8,0.5,0 - 90,0.5,0.2
Li,Host,245 - 367,0.2,0.2,0 - 155,0.2,0.2,0 - 90,0.4,0.2
Li,Comparison,1870 - 3738,0.9,0.8,1837 - 3672,0.9,0.8,1902 - 3802,0.8,0.8
Mg,Comparison,7478 - 9347,1.0,0.9,5509 - 7344,1.0,0.9,7606 - 9507,1.0,0.9
Mg,Host,490 - 612,0.9,0.9,621 - 775,0.8,0.7,363 - 453,0.8,0.7
Mn,Host,490 - 612,0.8,0.8,621 - 775,0.8,0.7,363 - 453,0.2,0.2
Mn,Comparison,5609 - 7477,0.9,0.9,5509 - 7344,0.9,0.8,5705 - 7605,0.9,0.9
N,Host,368 - 489,0.2,0.2,621 - 775,0.9,0.8,363 - 453,0.8,0.7
N,Comparison,1870 - 3738,0.9,0.8,1837 - 3672,0.8,0.7,1902 - 3802,0.9,0.8
Na,Host,490 - 612,0.8,0.7,621 - 775,0.9,0.8,363 - 453,0.6,0.5
Na,Comparison,5609 - 7477,0.9,0.9,5509 - 7344,0.8,0.8,5705 - 7605,0.9,0.8
NdII,Comparison,3739 - 5608,0.8,0.5,3673 - 5508,0.5,0.2,3803 - 5704,0.6,0.4
NdII,Host,123 - 244,0.8,0.6,0 - 155,0.2,0.2,0 - 90,0.7,0.5
Ni,Comparison,7478 - 9347,0.9,0.9,5509 - 7344,0.9,0.9,7606 - 9507,0.9,0.9
Ni,Host,490 - 612,0.9,0.9,621 - 775,0.8,0.8,363 - 453,0.8,0.8
O,Host,490 - 612,0.8,0.8,621 - 775,0.4,0.2,363 - 453,0.6,0.4
O,Comparison,5609 - 7477,0.2,0.2,5509 - 7344,0.2,0.2,5705 - 7605,0.2,0.2
S,Comparison,1870 - 3738,1.0,0.9,1837 - 3672,1.0,0.9,1902 - 3802,1.0,0.9
S,Host,245 - 367,0.8,0.7,0 - 155,0.8,0.7,0 - 90,0.6,0.5
Sc,Host,368 - 489,0.8,0.7,0 - 155,0.2,0.2,91 - 181,0.2,0.2
Sc,Comparison,3739 - 5608,0.9,0.8,3673 - 5508,0.8,0.8,3803 - 5704,0.9,0.8
ScII,Host,245 - 367,0.8,0.8,0 - 155,0.4,0.2,91 - 181,0.8,0.6
ScII,Comparison,3739 - 5608,0.8,0.7,3673 - 5508,0.5,0.2,3803 - 5704,0.6,0.4
Si,Comparison,7478 - 9347,0.8,0.8,7345 - 9181,0.9,0.8,7606 - 9507,0.9,0.8
Si,Host,490 - 612,0.9,0.8,621 - 775,0.5,0.2,363 - 453,0.8,0.6
SmII,Comparison,1870 - 3738,0.9,0.9,1837 - 3672,0.9,0.9,1902 - 3802,0.9,0.9
SmII,Host,123 - 244,0.2,0.2,0 - 155,0.2,0.2,0 - 90,0.2,0.2
Sr,Host,123 - 244,0.4,0.2,0 - 155,0.5,0.2,0 - 90,0.2,0.2
Sr,Comparison,1870 - 3738,0.9,0.9,3673 - 5508,0.9,0.9,1902 - 3802,0.9,0.8
Ti,Host,490 - 612,0.9,0.9,621 - 775,0.7,0.5,363 - 453,0.8,0.6
Ti,Comparison,7478 - 9347,0.8,0.6,7345 - 9181,0.8,0.8,7606 - 9507,0.8,0.7
TiII,Host,368 - 489,0.9,0.8,0 - 155,0.5,0.2,91 - 181,0.8,0.6
TiII,Comparison,1870 - 3738,0.7,0.5,1837 - 3672,0.8,0.8,1902 - 3802,0.8,0.8
V,Comparison,5609 - 7477,0.2,0.2,5509 - 7344,0.5,0.2,5705 - 7605,0.5,0.2
V,Host,490 - 612,0.9,0.8,621 - 775,0.6,0.4,363 - 453,0.8,0.6
Y,Host,368 - 489,0.5,0.2,621 - 775,0.9,0.8,363 - 453,0.8,0.6
Y,Comparison,3739 - 5608,1.0,0.9,3673 - 5508,1.0,0.9,3803 - 5704,1.0,0.9
YII,Host,123 - 244,0.8,0.8,0 - 155,0.2,0.2,0 - 90,0.6,0.4
YII,Comparison,1870 - 3738,0.6,0.2,1837 - 3672,0.7,0.5,1902 - 3802,0.6,0.5
Zn,Comparison,3739 - 5608,0.9,0.9,3673 - 5508,0.9,0.9,3803 - 5704,0.9,0.9
Zn,Host,245 - 367,0.8,0.6,0 - 155,0.2,0.2,91 - 181,0.5,0.2
Zr,Host,123 - 244,0.2,0.2,0 - 155,0.4,0.2,0 - 90,0.2,0.2
Zr,Comparison,3739 - 5608,1.0,0.9,3673 - 5508,0.9,0.9,3803 - 5704,1.0,0.9
ZrII,Host,123 - 244,0.8,0.6,0 - 155,0.2,0.2,0 - 90,0.5,0.2
ZrII,Comparison,1870 - 3738,0.9,0.8,1837 - 3672,0.9,0.8,1902 - 3802,0.9,0.8
