Feature,LabelType,JupiterBinSampleSize,Jupiter_2Sigma_Threshold,Jupiter_3Sigma_Threshold,RockyBinSampleSize,Rocky_2Sigma_Threshold,Rocky_3Sigma_Threshold
Si,Host,490 - 612,0.90,0.85,621 - 775,0.05,0.05
f_dist,Host,490 - 612,0.05,0.05,621 - 775,0.95,0.90
ScII,Host,245 - 367,0.90,0.85,0 - 155,0.35,0.10
TiII,Host,368 - 489,0.90,0.85,0 - 155,0.35,0.05
CeII,Comparison,3739 - 5608,0.90,0.80,3673 - 5508,0.85,0.80
YII,Comparison,1870 - 3738,0.05,0.05,1837 - 3672,0.05,0.05
f_bv,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
S,Comparison,1870 - 3738,1.00,0.95,1837 - 3672,1.00,0.95
f_mass,Host,368 - 489,0.95,0.90,621 - 775,0.95,0.95
f_logg,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
ZrII,Host,123 - 244,0.35,0.30,0 - 155,0.05,0.05
Si,Comparison,7478 - 9347,0.80,0.70,7345 - 9181,0.85,0.80
V,Comparison,5609 - 7477,0.80,0.65,5509 - 7344,0.70,0.55
f_vmag,Host,368 - 489,0.95,0.90,0 - 155,0.85,0.80
C,Comparison,5609 - 7477,0.90,0.85,5509 - 7344,0.85,0.75
Zr,Host,123 - 244,0.75,0.60,0 - 155,0.05,0.05
f_bv,Host,368 - 489,0.95,0.90,0 - 155,0.90,0.80
Ca,Comparison,7478 - 9347,0.95,0.90,7345 - 9181,0.95,0.90
f_logg,Host,490 - 612,0.95,0.90,621 - 775,0.95,0.95
f_radius,Host,490 - 612,0.95,0.90,621 - 775,0.15,0.10
CeII,Host,123 - 244,0.75,0.55,0 - 155,0.05,0.05
Ti,Comparison,7478 - 9347,0.90,0.85,7345 - 9181,0.90,0.85
Na,Host,490 - 612,0.85,0.70,621 - 775,0.85,0.80
Li,Host,245 - 367,0.90,0.90,0 - 155,0.75,0.60
TiII,Comparison,1870 - 3738,0.75,0.65,1837 - 3672,0.90,0.80
N,Host,368 - 489,0.75,0.55,621 - 775,0.90,0.85
Y,Host,368 - 489,0.95,0.90,621 - 775,0.90,0.80
Al,Host,490 - 612,0.60,0.35,621 - 775,0.90,0.80
ScII,Comparison,3739 - 5608,0.85,0.75,3673 - 5508,0.90,0.85
Cu,Comparison,3739 - 5608,0.90,0.85,3673 - 5508,0.85,0.75
f_vmag,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
Mn,Host,490 - 612,0.90,0.80,621 - 775,0.85,0.75
Cr,Host,490 - 612,0.95,0.90,621 - 775,0.95,0.90
O,Host,490 - 612,0.95,0.90,621 - 775,0.95,0.95
f_dist,Comparison,7478 - 9347,0.15,0.15,7345 - 9181,0.95,0.25
Ca,Host,490 - 612,0.95,0.90,621 - 775,0.75,0.55
Zr,Comparison,3739 - 5608,0.90,0.80,3673 - 5508,0.85,0.80
Li,Comparison,1870 - 3738,1.00,1.00,1837 - 3672,1.00,1.00
Na,Comparison,5609 - 7477,0.90,0.85,5509 - 7344,0.80,0.70
Ti,Host,490 - 612,0.90,0.85,621 - 775,0.70,0.45
Cu,Host,245 - 367,0.80,0.70,0 - 155,0.05,0.05
Al,Comparison,5609 - 7477,0.95,0.95,5509 - 7344,0.95,0.90
f_mass,Comparison,5609 - 7477,1.00,1.00,5509 - 7344,1.00,1.00
Cr,Comparison,5609 - 7477,0.95,0.95,5509 - 7344,0.95,0.95
Mn,Comparison,5609 - 7477,0.65,0.45,5509 - 7344,0.05,0.05
ZrII,Comparison,1870 - 3738,1.00,0.95,1837 - 3672,1.00,0.05
f_radius,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
S,Host,245 - 367,0.90,0.05,0 - 155,0.80,0.70
Ni,Host,490 - 612,0.90,0.85,621 - 775,0.40,0.10
NdII,Host,123 - 244,0.70,0.45,0 - 155,0.05,0.05
LaII,Comparison,1870 - 3738,1.00,1.00,1837 - 3672,1.00,1.00
Co,Host,368 - 489,0.85,0.80,0 - 155,0.60,0.35
