Feature,LabelType,JupiterBinSampleSize,Jupiter_2Sigma_Threshold,Jupiter_3Sigma_Threshold,RockyBinSampleSize,Rocky_2Sigma_Threshold,Rocky_3Sigma_Threshold
TiII,Host,368 - 489,0.90,0.80,0 - 155,0.15,0.05
Sr,Host,123 - 244,0.75,0.60,0 - 155,0.05,0.05
C,Comparison,5609 - 7477,0.85,0.75,5509 - 7344,0.65,0.45
Ca,Comparison,7478 - 9347,0.65,0.40,7345 - 9181,0.80,0.65
Ti,Comparison,7478 - 9347,0.80,0.70,7345 - 9181,0.85,0.80
Fe,Host,490 - 612,0.90,0.85,621 - 775,0.65,0.40
CrII,Comparison,1870 - 3738,1.00,1.00,1837 - 3672,1.00,1.00
Cu,Comparison,3739 - 5608,0.95,0.90,3673 - 5508,0.95,0.90
ScII,Host,245 - 367,0.90,0.80,0 - 155,0.35,0.10
V,Comparison,5609 - 7477,0.25,0.05,5509 - 7344,0.05,0.05
Sc,Host,368 - 489,0.90,0.85,0 - 155,0.30,0.05
Zr,Comparison,3739 - 5608,0.60,0.35,3673 - 5508,0.35,0.10
NdII,Comparison,3739 - 5608,0.80,0.65,3673 - 5508,0.80,0.70
Na,Comparison,5609 - 7477,0.90,0.85,5509 - 7344,0.75,0.60
Li,Comparison,1870 - 3738,1.00,1.00,1837 - 3672,1.00,1.00
S,Comparison,1870 - 3738,0.90,0.85,1837 - 3672,0.90,0.85
ZrII,Host,123 - 244,0.70,0.55,0 - 155,0.05,0.05
Al,Comparison,5609 - 7477,1.00,0.95,5509 - 7344,0.95,0.95
Cr,Comparison,5609 - 7477,0.70,0.60,5509 - 7344,0.30,0.05
Mn,Comparison,5609 - 7477,0.95,0.90,5509 - 7344,0.85,0.80
EuII,Comparison,1870 - 3738,0.95,0.95,3673 - 5508,0.95,0.05
BaII,Comparison,3739 - 5608,0.60,0.30,3673 - 5508,0.05,0.05
SmII,Comparison,1870 - 3738,0.90,0.90,1837 - 3672,0.95,0.90
S,Host,245 - 367,0.85,0.75,0 - 155,0.15,0.05
CeII,Host,123 - 244,0.85,0.75,0 - 155,0.05,0.05
V,Host,490 - 612,0.90,0.80,621 - 775,0.60,0.35
Si,Comparison,7478 - 9347,0.40,0.05,7345 - 9181,0.05,0.05
Zn,Host,245 - 367,0.05,0.05,0 - 155,0.60,0.40
YII,Host,123 - 244,0.80,0.70,0 - 155,0.05,0.05
Mg,Host,490 - 612,0.60,0.45,621 - 775,0.90,0.85
Ni,Host,490 - 612,0.90,0.85,621 - 775,0.05,0.05
C,Host,490 - 612,0.85,0.80,621 - 775,0.05,0.05
Co,Host,368 - 489,0.90,0.80,0 - 155,0.60,0.35
LaII,Comparison,1870 - 3738,0.45,0.20,1837 - 3672,0.70,0.45
Cu,Host,245 - 367,0.70,0.55,0 - 155,0.05,0.05
N,Host,368 - 489,0.90,0.85,621 - 775,0.25,0.05
Y,Host,368 - 489,0.90,0.85,621 - 775,0.55,0.30
ZrII,Comparison,1870 - 3738,0.95,0.90,1837 - 3672,0.90,0.85
O,Host,490 - 612,0.80,0.70,621 - 775,0.55,0.25
EuII,Host,123 - 244,0.55,0.40,0 - 155,0.25,0.15
NdII,Host,123 - 244,0.85,0.75,0 - 155,0.20,0.05
Ca,Host,490 - 612,0.90,0.85,621 - 775,0.75,0.55
Sr,Comparison,1870 - 3738,0.85,0.75,3673 - 5508,0.75,0.55
Fe,Comparison,7478 - 9347,0.80,0.70,7345 - 9181,0.70,0.45
Ti,Host,490 - 612,0.95,0.90,621 - 775,0.85,0.70
Al,Host,490 - 612,0.20,0.15,621 - 775,0.95,0.90
CrII,Host,245 - 367,0.90,0.85,0 - 155,0.80,0.70
Cr,Host,490 - 612,0.90,0.85,621 - 775,0.20,0.05
ScII,Comparison,3739 - 5608,0.05,0.05,3673 - 5508,0.05,0.05
Mn,Host,490 - 612,0.85,0.75,621 - 775,0.60,0.35
Zr,Host,123 - 244,0.80,0.65,0 - 155,0.35,0.10
TiII,Comparison,1870 - 3738,0.35,0.05,1837 - 3672,0.05,0.05
Sc,Comparison,3739 - 5608,0.90,0.85,3673 - 5508,0.95,0.90
Li,Host,245 - 367,0.90,0.90,0 - 155,0.75,0.60
Na,Host,490 - 612,0.85,0.75,621 - 775,0.85,0.80
LaII,Host,123 - 244,0.85,0.75,0 - 155,0.15,0.05
YII,Comparison,1870 - 3738,0.05,0.05,1837 - 3672,0.05,0.05
Ni,Comparison,7478 - 9347,0.90,0.85,5509 - 7344,0.85,0.75
Co,Comparison,3739 - 5608,0.65,0.45,5509 - 7344,0.80,0.65
CeII,Comparison,3739 - 5608,0.65,0.40,3673 - 5508,0.80,0.65
Si,Host,490 - 612,0.90,0.85,621 - 775,0.05,0.05
O,Comparison,5609 - 7477,0.95,0.90,5509 - 7344,0.90,0.85
Mg,Comparison,7478 - 9347,1.00,0.95,5509 - 7344,1.00,0.95
Zn,Comparison,3739 - 5608,0.95,0.95,3673 - 5508,0.95,0.95
BaII,Host,245 - 367,0.80,0.70,0 - 155,0.05,0.05
Y,Comparison,3739 - 5608,0.70,0.45,3673 - 5508,0.80,0.70
SmII,Host,123 - 244,0.85,0.75,0 - 155,0.45,0.25
N,Comparison,1870 - 3738,0.95,0.85,1837 - 3672,0.95,0.90
