Feature,LabelType,JupiterBinSampleSize,Jupiter_2Sigma_Threshold,Jupiter_3Sigma_Threshold,RockyBinSampleSize,Rocky_2Sigma_Threshold,Rocky_3Sigma_Threshold
C,Host,490 - 612,0.90,0.85,621 - 775,0.85,0.80
Cr,Comparison,5609 - 7477,0.80,0.70,5509 - 7344,0.65,0.45
Mn,Comparison,5609 - 7477,0.95,0.95,5509 - 7344,0.95,0.95
f_teff,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
Al,Comparison,5609 - 7477,0.85,0.80,5509 - 7344,0.70,0.45
Li,Comparison,1870 - 3738,1.00,1.00,1837 - 3672,1.00,1.00
Na,Comparison,5609 - 7477,0.90,0.80,5509 - 7344,0.95,0.90
CeII,Host,123 - 244,0.70,0.45,0 - 155,0.30,0.05
CeII,Comparison,3739 - 5608,0.90,0.85,3673 - 5508,0.90,0.80
f_bv,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
f_bv,Host,368 - 489,0.95,0.90,0 - 155,0.80,0.70
Eu,Host,0 - 122,0.05,0.05,0 - 155,0.55,0.25
V,Host,490 - 612,0.90,0.85,621 - 775,0.85,0.80
Zr,Comparison,3739 - 5608,0.95,0.90,3673 - 5508,0.95,0.90
PrII,Host,0 - 122,0.30,0.05,0 - 155,0.15,0.05
PrII,Comparison,0 - 1869,0.85,0.80,0 - 1836,0.85,0.80
f_u,Comparison,5609 - 7477,0.95,0.90,5509 - 7344,0.95,0.90
CaII,Comparison,0 - 1869,0.95,0.90,0 - 1836,0.95,0.90
Cu,Comparison,3739 - 5608,1.00,0.95,3673 - 5508,1.00,0.95
CaII,Host,0 - 122,0.10,0.05,0 - 155,0.05,0.05
S,Host,245 - 367,0.60,0.40,0 - 155,0.05,0.05
f_radius,Host,490 - 612,0.90,0.90,621 - 775,0.95,0.95
Ti,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
f_v,Comparison,5609 - 7477,0.95,0.95,5509 - 7344,0.95,0.95
f_teff,Host,490 - 612,0.95,0.95,621 - 775,0.95,0.95
f_w,Comparison,5609 - 7477,0.80,0.65,5509 - 7344,0.75,0.65
Ca,Comparison,7478 - 9347,1.00,0.95,7345 - 9181,1.00,1.00
Si,Host,490 - 612,0.90,0.85,621 - 775,0.05,0.05
S,Comparison,1870 - 3738,0.05,0.05,1837 - 3672,0.15,0.05
TiII,Host,368 - 489,0.90,0.80,0 - 155,0.15,0.05
Cu,Host,245 - 367,0.65,0.05,0 - 155,0.75,0.65
TiII,Comparison,1870 - 3738,0.35,0.05,1837 - 3672,0.05,0.05
Ti,Host,490 - 612,0.95,0.90,621 - 775,0.95,0.95
ScII,Host,245 - 367,0.85,0.80,0 - 155,0.25,0.05
ScII,Comparison,3739 - 5608,0.90,0.80,3673 - 5508,0.85,0.75
Ca,Host,490 - 612,0.95,0.90,621 - 775,0.95,0.90
Si,Comparison,7478 - 9347,0.70,0.05,7345 - 9181,0.85,0.75
YII,Host,123 - 244,0.80,0.70,0 - 155,0.05,0.05
Cr,Host,490 - 612,0.90,0.85,621 - 775,0.05,0.05
