Feature,LabelType,JupiterBinSampleSize,Jupiter_2Sigma_Threshold,Jupiter_3Sigma_Threshold,RockyBinSampleSize,Rocky_2Sigma_Threshold,Rocky_3Sigma_Threshold
C,Host,490 - 612,0.90,0.85,621 - 775,0.85,0.75
Cr,Comparison,5609 - 7477,1.00,0.95,5509 - 7344,1.00,0.95
Mn,Comparison,5609 - 7477,1.00,0.95,5509 - 7344,1.00,0.95
f_teff,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
Al,Comparison,5609 - 7477,0.80,0.65,5509 - 7344,0.05,0.05
Li,Comparison,1870 - 3738,0.95,0.95,1837 - 3672,0.95,0.95
Na,Comparison,5609 - 7477,0.95,0.90,5509 - 7344,0.90,0.85
CeII,Host,123 - 244,0.85,0.75,0 - 155,0.05,0.05
CeII,Comparison,3739 - 5608,0.65,0.40,3673 - 5508,0.80,0.65
f_bv,Comparison,7478 - 9347,0.95,0.90,7345 - 9181,0.90,0.85
f_bv,Host,368 - 489,0.80,0.75,0 - 155,0.45,0.30
V,Host,490 - 612,0.90,0.85,621 - 775,0.70,0.55
Zr,Comparison,3739 - 5608,0.95,0.90,3673 - 5508,0.95,0.90
f_u,Comparison,5609 - 7477,0.90,0.85,5509 - 7344,0.90,0.85
Cu,Comparison,3739 - 5608,0.35,0.05,3673 - 5508,0.60,0.05
S,Host,245 - 367,0.70,0.55,0 - 155,0.75,0.65
f_radius,Host,490 - 612,0.95,0.90,621 - 775,0.95,0.95
Ti,Comparison,7478 - 9347,0.65,0.35,7345 - 9181,0.80,0.70
f_v,Comparison,5609 - 7477,0.90,0.85,5509 - 7344,0.90,0.85
f_teff,Host,490 - 612,0.95,0.90,621 - 775,0.90,0.85
f_w,Comparison,5609 - 7477,0.95,0.95,5509 - 7344,0.95,0.95
Ca,Comparison,7478 - 9347,1.00,0.95,7345 - 9181,0.95,0.95
Si,Host,490 - 612,0.95,0.90,621 - 775,0.90,0.80
S,Comparison,1870 - 3738,0.95,0.90,1837 - 3672,0.95,0.90
TiII,Host,368 - 489,0.85,0.80,0 - 155,0.10,0.05
Cu,Host,245 - 367,0.90,0.80,0 - 155,0.60,0.40
TiII,Comparison,1870 - 3738,0.85,0.80,1837 - 3672,0.75,0.65
Ti,Host,490 - 612,0.95,0.85,621 - 775,0.45,0.25
ScII,Host,245 - 367,0.75,0.65,0 - 155,0.05,0.05
ScII,Comparison,3739 - 5608,0.95,0.95,3673 - 5508,0.95,0.95
Ca,Host,490 - 612,0.75,0.55,621 - 775,0.90,0.80
Si,Comparison,7478 - 9347,0.95,0.95,7345 - 9181,0.95,0.95
YII,Host,123 - 244,0.80,0.70,0 - 155,0.05,0.05
Cr,Host,490 - 612,0.45,0.35,621 - 775,0.90,0.85
Mn,Host,490 - 612,0.95,0.90,621 - 775,0.95,0.90
C,Comparison,5609 - 7477,0.85,0.80,5509 - 7344,0.90,0.80
