Feature,LabelType,JupiterBinSampleSize,Jupiter_2Sigma_Threshold,Jupiter_3Sigma_Threshold,RockyBinSampleSize,Rocky_2Sigma_Threshold,Rocky_3Sigma_Threshold
TiII,Host,368 - 489,0.90,0.85,0 - 155,0.40,0.10
Si,Host,490 - 612,0.85,0.75,621 - 775,0.80,0.70
ScII,Host,245 - 367,0.85,0.80,0 - 155,0.25,0.05
YII,Comparison,1870 - 3738,0.95,0.90,1837 - 3672,0.95,0.90
Mg,Comparison,7478 - 9347,1.00,0.95,5509 - 7344,1.00,0.95
f_logg,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
Co,Comparison,3739 - 5608,0.65,0.45,5509 - 7344,0.80,0.65
Ni,Comparison,7478 - 9347,0.90,0.85,5509 - 7344,0.85,0.75
V,Host,490 - 612,0.90,0.85,621 - 775,0.70,0.55
f_vmag,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
Fe,Comparison,7478 - 9347,0.90,0.80,7345 - 9181,0.90,0.85
f_teff,Host,490 - 612,0.05,0.05,621 - 775,0.85,0.80
Na,Host,490 - 612,0.80,0.70,621 - 775,0.90,0.80
CrII,Comparison,1870 - 3738,0.90,0.85,1837 - 3672,0.95,0.90
Al,Host,490 - 612,0.80,0.70,621 - 775,0.90,0.80
f_bv,Host,368 - 489,0.95,0.90,0 - 155,0.90,0.80
Mn,Host,490 - 612,0.45,0.10,621 - 775,0.90,0.85
Cr,Host,490 - 612,0.95,0.90,621 - 775,0.95,0.90
Ca,Host,490 - 612,0.80,0.70,621 - 775,0.70,0.60
f_mass,Comparison,5609 - 7477,1.00,1.00,5509 - 7344,1.00,1.00
Sc,Comparison,3739 - 5608,1.00,0.95,3673 - 5508,1.00,0.95
Ti,Host,490 - 612,0.95,0.95,621 - 775,0.95,0.95
f_dist,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
V,Comparison,5609 - 7477,0.05,0.05,5509 - 7344,0.45,0.15
Ni,Host,490 - 612,0.90,0.85,621 - 775,0.05,0.05
Co,Host,368 - 489,0.90,0.80,0 - 155,0.60,0.35
YII,Host,123 - 244,0.90,0.80,0 - 155,0.70,0.55
Mg,Host,490 - 612,0.95,0.90,621 - 775,0.90,0.85
Y,Comparison,3739 - 5608,0.75,0.60,3673 - 5508,0.80,0.70
Y,Host,368 - 489,0.90,0.85,621 - 775,0.55,0.30
CrII,Host,245 - 367,0.90,0.85,0 - 155,0.75,0.65
f_logg,Host,490 - 612,0.95,0.95,621 - 775,0.95,0.95
Si,Comparison,7478 - 9347,0.95,0.90,7345 - 9181,0.90,0.85
f_bv,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
f_radius,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,0.95
Sc,Host,368 - 489,0.05,0.05,0 - 155,0.75,0.55
f_radius,Host,490 - 612,0.95,0.90,621 - 775,0.95,0.95
Ti,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
f_teff,Comparison,7478 - 9347,0.35,0.30,7345 - 9181,0.20,0.20
f_vmag,Host,368 - 489,0.95,0.90,0 - 155,0.90,0.80
Ca,Comparison,7478 - 9347,0.95,0.95,7345 - 9181,0.95,0.90
Cr,Comparison,5609 - 7477,1.00,1.00,5509 - 7344,1.00,1.00
Mn,Comparison,5609 - 7477,1.00,0.95,5509 - 7344,1.00,0.95
Al,Comparison,5609 - 7477,0.95,0.90,5509 - 7344,0.90,0.80
TiII,Comparison,1870 - 3738,0.30,0.05,1837 - 3672,0.80,0.65
f_dist,Host,490 - 612,0.95,0.90,621 - 775,0.95,0.95
ScII,Comparison,3739 - 5608,0.90,0.80,3673 - 5508,0.80,0.70
f_mass,Host,368 - 489,0.95,0.90,621 - 775,0.95,0.95
Na,Comparison,5609 - 7477,0.90,0.85,5509 - 7344,0.85,0.75
Fe,Host,490 - 612,0.90,0.85,621 - 775,0.85,0.75
