Feature,LabelType,BinSampleSize,2Sigma_Threshold,3Sigma_Threshold
Al,Host,490 - 612,0.9,0.85
Al,Comparison,5609 - 7477,0.45,0.2
BaII,Comparison,3739 - 5608,0.55,0.35
BaII,Host,245 - 367,0.75,0.7
C,Comparison,5609 - 7477,0.85,0.8
C,Host,490 - 612,0.85,0.75
Ca,Comparison,7478 - 9347,0.95,0.9
Ca,Host,490 - 612,0.85,0.8
CeII,Comparison,3739 - 5608,0.6,0.45
CeII,Host,123 - 244,0.85,0.75
Co,Host,368 - 489,0.85,0.8
Co,Comparison,3739 - 5608,0.95,0.95
Cr,Host,490 - 612,0.9,0.85
Cr,Comparison,5609 - 7477,0.4,0.1
CrII,Host,245 - 367,0.65,0.4
CrII,Comparison,1870 - 3738,0.95,0.95
Cu,Comparison,3739 - 5608,0.95,0.9
Cu,Host,245 - 367,0.5,0.3
EuII,Host,123 - 244,0.8,0.75
EuII,Comparison,1870 - 3738,0.05,0.05
f_bv,Comparison,7478 - 9347,0.95,0.95
f_bv,Host,368 - 489,0.9,0.9
f_dist,Host,490 - 612,0.85,0.8
f_dist,Comparison,7478 - 9347,0.95,0.95
f_logg,Comparison,7478 - 9347,0.95,0.95
f_logg,Host,490 - 612,0.95,0.9
f_mass,Host,368 - 489,0.9,0.9
f_mass,Comparison,5609 - 7477,0.95,0.95
f_radius,Host,490 - 612,0.9,0.9
f_radius,Comparison,7478 - 9347,0.95,0.95
f_teff,Host,490 - 612,0.95,0.9
f_teff,Comparison,7478 - 9347,0.95,0.95
f_vmag,Host,368 - 489,0.9,0.9
f_vmag,Comparison,7478 - 9347,0.95,0.95
Fe,Comparison,7478 - 9347,0.85,0.8
Fe,Host,490 - 612,0.9,0.8
LaII,Comparison,1870 - 3738,0.5,0.25
LaII,Host,123 - 244,0.8,0.7
Li,Host,245 - 367,0.9,0.85
Li,Comparison,1870 - 3738,0.95,0.95
Mg,Host,490 - 612,0.9,0.85
Mg,Comparison,7478 - 9347,0.45,0.1
Mn,Host,490 - 612,0.85,0.8
Mn,Comparison,5609 - 7477,0.05,0.05
N,Host,368 - 489,0.8,0.7
N,Comparison,1870 - 3738,0.05,0.05
Na,Host,490 - 612,0.8,0.7
Na,Comparison,5609 - 7477,0.9,0.85
NdII,Host,123 - 244,0.8,0.75
NdII,Comparison,3739 - 5608,0.05,0.05
Ni,Host,490 - 612,0.85,0.8
Ni,Comparison,7478 - 9347,0.9,0.8
O,Host,490 - 612,0.85,0.75
O,Comparison,5609 - 7477,0.8,0.7
S,Comparison,1870 - 3738,0.95,0.9
S,Host,245 - 367,0.85,0.75
Sc,Host,368 - 489,0.9,0.8
Sc,Comparison,3739 - 5608,0.75,0.7
ScII,Host,245 - 367,0.9,0.8
ScII,Comparison,3739 - 5608,0.05,0.05
Si,Host,490 - 612,0.9,0.85
Si,Comparison,7478 - 9347,0.6,0.45
SmII,Comparison,1870 - 3738,0.75,0.55
SmII,Host,123 - 244,0.65,0.55
Sr,Comparison,1870 - 3738,0.8,0.7
Sr,Host,123 - 244,0.5,0.5
Ti,Comparison,7478 - 9347,0.65,0.5
Ti,Host,490 - 612,0.9,0.85
TiII,Host,368 - 489,0.9,0.8
TiII,Comparison,1870 - 3738,0.8,0.7
V,Comparison,5609 - 7477,0.9,0.85
V,Host,490 - 612,0.85,0.75
Y,Host,368 - 489,0.5,0.3
Y,Comparison,3739 - 5608,0.95,0.95
YII,Comparison,1870 - 3738,0.8,0.7
YII,Host,123 - 244,0.75,0.6
Zn,Host,245 - 367,0.55,0.05
Zn,Comparison,3739 - 5608,0.9,0.9
Zr,Host,123 - 244,0.7,0.65
Zr,Comparison,3739 - 5608,0.75,0.6
ZrII,Host,123 - 244,0.75,0.65
ZrII,Comparison,1870 - 3738,0.5,0.35
