Feature,LabelType,BinSampleSize,2Sigma_Threshold,3Sigma_Threshold
Al,Comparison,5609 - 7477,0.85,0.75
Al,Host,490 - 612,0.85,0.75
BaII,Comparison,3739 - 5608,0.55,0.35
BaII,Host,245 - 367,0.75,0.7
C,Comparison,5609 - 7477,0.05,0.05
C,Host,490 - 612,0.85,0.8
Ca,Comparison,7478 - 9347,0.55,0.4
Ca,Host,490 - 612,0.9,0.85
CeII,Host,123 - 244,0.85,0.75
CeII,Comparison,3739 - 5608,0.6,0.45
Co,Host,368 - 489,0.9,0.8
Co,Comparison,3739 - 5608,0.7,0.55
Cr,Comparison,5609 - 7477,0.75,0.5
Cr,Host,490 - 612,0.9,0.8
CrII,Comparison,1870 - 3738,0.95,0.95
CrII,Host,245 - 367,0.9,0.8
Cu,Comparison,3739 - 5608,0.95,0.9
Cu,Host,245 - 367,0.5,0.3
EuII,Comparison,1870 - 3738,0.05,0.05
EuII,Host,123 - 244,0.8,0.7
Fe,Host,490 - 612,0.9,0.8
Fe,Comparison,7478 - 9347,0.85,0.8
LaII,Comparison,1870 - 3738,0.6,0.3
LaII,Host,123 - 244,0.8,0.75
Li,Comparison,1870 - 3738,0.95,0.95
Li,Host,245 - 367,0.9,0.85
Mg,Host,490 - 612,0.9,0.85
Mg,Comparison,7478 - 9347,0.55,0.3
Mn,Comparison,5609 - 7477,0.95,0.95
Mn,Host,490 - 612,0.5,0.15
N,Host,368 - 489,0.8,0.7
Na,Comparison,5609 - 7477,0.9,0.85
Na,Host,490 - 612,0.8,0.7
NdII,Comparison,3739 - 5608,0.35,0.1
NdII,Host,123 - 244,0.8,0.75
Ni,Host,490 - 612,0.85,0.8
Ni,Comparison,7478 - 9347,0.9,0.8
O,Host,490 - 612,0.85,0.75
O,Comparison,5609 - 7477,0.8,0.7
S,Comparison,1870 - 3738,0.9,0.85
S,Host,245 - 367,0.85,0.75
Sc,Host,368 - 489,0.9,0.8
Sc,Comparison,3739 - 5608,0.9,0.8
ScII,Host,245 - 367,0.9,0.8
ScII,Comparison,3739 - 5608,0.05,0.05
Si,Comparison,7478 - 9347,0.35,0.1
Si,Host,490 - 612,0.9,0.85
SmII,Comparison,1870 - 3738,0.9,0.85
SmII,Host,123 - 244,0.8,0.75
Sr,Host,123 - 244,0.65,0.5
Sr,Comparison,1870 - 3738,0.6,0.45
Ti,Comparison,7478 - 9347,0.65,0.5
Ti,Host,490 - 612,0.9,0.85
TiII,Host,368 - 489,0.9,0.8
TiII,Comparison,1870 - 3738,0.7,0.5
V,Comparison,5609 - 7477,0.3,0.1
V,Host,490 - 612,0.9,0.8
Y,Host,368 - 489,0.9,0.85
Y,Comparison,3739 - 5608,0.65,0.5
YII,Host,123 - 244,0.8,0.65
YII,Comparison,1870 - 3738,0.05,0.05
Zn,Host,245 - 367,0.5,0.25
Zn,Comparison,3739 - 5608,0.95,0.9
Zr,Comparison,3739 - 5608,0.65,0.5
Zr,Host,123 - 244,0.7,0.65
ZrII,Host,123 - 244,0.85,0.75
ZrII,Comparison,1870 - 3738,0.95,0.95
