Feature,LabelType,BinSampleSize,2Sigma_Threshold,3Sigma_Threshold
Al,Comparison,5609 - 7477,0.95,0.90
Al,Host,490 - 612,0.90,0.90
BaII,Host,245 - 367,0.80,0.75
BaII,Comparison,3739 - 5608,0.25,0.05
C,Host,490 - 612,0.85,0.75
C,Comparison,5609 - 7477,0.85,0.80
Ca,Comparison,7478 - 9347,0.95,0.95
Ca,Host,490 - 612,0.95,0.90
CaII,Comparison,0 - 1869,0.70,0.60
CaII,Host,0 - 122,0.85,0.75
CeII,Host,123 - 244,0.85,0.75
CeII,Comparison,3739 - 5608,0.60,0.45
Co,Host,368 - 489,0.90,0.80
Co,Comparison,3739 - 5608,0.70,0.55
Cr,Comparison,5609 - 7477,0.95,0.90
Cr,Host,490 - 612,0.80,0.65
CrII,Comparison,1870 - 3738,0.95,0.95
CrII,Host,245 - 367,0.90,0.80
Cu,Comparison,3739 - 5608,0.95,0.90
Cu,Host,245 - 367,0.50,0.30
Eu,Host,0 - 122,0.80,0.70
Eu,Comparison,0 - 1869,0.95,0.90
EuII,Host,123 - 244,0.80,0.75
EuII,Comparison,1870 - 3738,0.80,0.70
f_bv,Comparison,7478 - 9347,0.95,0.90
f_bv,Host,368 - 489,0.40,0.35
f_dist,Host,490 - 612,0.90,0.90
f_dist,Comparison,7478 - 9347,0.95,0.95
f_logg,Host,490 - 612,0.95,0.90
f_logg,Comparison,7478 - 9347,0.95,0.95
f_mass,Host,368 - 489,0.90,0.90
f_mass,Comparison,5609 - 7477,0.95,0.95
f_radius,Host,490 - 612,0.95,0.90
f_radius,Comparison,7478 - 9347,0.95,0.95
f_teff,Comparison,7478 - 9347,0.95,0.95
f_teff,Host,490 - 612,0.95,0.90
f_u,Comparison,5609 - 7477,0.90,0.90
f_u,Host,245 - 367,0.50,0.30
f_v,Comparison,5609 - 7477,0.95,0.95
f_v,Host,245 - 367,0.90,0.85
f_vmag,Comparison,7478 - 9347,0.95,0.95
f_vmag,Host,368 - 489,0.95,0.90
f_w,Comparison,5609 - 7477,0.95,0.90
f_w,Host,245 - 367,0.75,0.60
Fe,Comparison,7478 - 9347,0.80,0.70
Fe,Host,490 - 612,0.90,0.85
K,Comparison,0 - 1869,0.55,0.40
K,Host,0 - 122,0.70,0.45
LaII,Host,123 - 244,0.80,0.75
LaII,Comparison,1870 - 3738,0.50,0.20
Li,Comparison,1870 - 3738,0.95,0.95
Li,Host,245 - 367,0.90,0.85
Mg,Host,490 - 612,0.90,0.85
Mg,Comparison,7478 - 9347,0.05,0.05
Mn,Comparison,5609 - 7477,0.95,0.95
Mn,Host,490 - 612,0.05,0.05
N,Comparison,1870 - 3738,0.85,0.75
N,Host,368 - 489,0.70,0.35
Na,Comparison,5609 - 7477,0.90,0.85
Na,Host,490 - 612,0.80,0.70
NdII,Comparison,3739 - 5608,0.95,0.95
NdII,Host,123 - 244,0.90,0.80
Ni,Host,490 - 612,0.85,0.80
Ni,Comparison,7478 - 9347,0.85,0.75
O,Comparison,5609 - 7477,0.80,0.70
O,Host,490 - 612,0.85,0.75
PrII,Host,0 - 122,0.65,0.40
PrII,Comparison,0 - 1869,0.70,0.45
S,Host,245 - 367,0.85,0.75
S,Comparison,1870 - 3738,0.90,0.85
Sc,Comparison,3739 - 5608,0.90,0.80
Sc,Host,368 - 489,0.90,0.80
ScII,Host,245 - 367,0.90,0.80
ScII,Comparison,3739 - 5608,0.05,0.05
Si,Host,490 - 612,0.90,0.85
Si,Comparison,7478 - 9347,0.40,0.10
SiII,Host,0 - 122,0.75,0.65
SiII,Comparison,0 - 1869,0.55,0.30
SmII,Comparison,1870 - 3738,0.90,0.85
SmII,Host,123 - 244,0.80,0.70
Sr,Comparison,1870 - 3738,0.05,0.05
Sr,Host,123 - 244,0.70,0.55
Ti,Comparison,7478 - 9347,0.75,0.65
Ti,Host,490 - 612,0.90,0.90
TiII,Host,368 - 489,0.90,0.80
TiII,Comparison,1870 - 3738,0.35,0.05
V,Host,490 - 612,0.90,0.80
V,Comparison,5609 - 7477,0.25,0.05
VII,Comparison,0 - 1869,0.55,0.25
VII,Host,0 - 122,0.75,0.65
Y,Comparison,3739 - 5608,0.65,0.50
Y,Host,368 - 489,0.90,0.80
YII,Host,123 - 244,0.80,0.65
YII,Comparison,1870 - 3738,0.05,0.05
Zn,Host,245 - 367,0.55,0.25
Zn,Comparison,3739 - 5608,0.95,0.90
Zr,Comparison,3739 - 5608,0.65,0.35
Zr,Host,123 - 244,0.80,0.70
ZrII,Comparison,1870 - 3738,0.05,0.05
ZrII,Host,123 - 244,0.80,0.70
