Feature,LabelType,BinSampleSize,2Sigma_Threshold,3Sigma_Threshold
Al,Host,490 - 612,0.85,0.75
Al,Comparison,5609 - 7477,0.85,0.75
Ca,Host,490 - 612,0.90,0.85
Ca,Comparison,7478 - 9347,0.55,0.40
Co,Comparison,3739 - 5608,0.70,0.55
Co,Host,368 - 489,0.90,0.80
Cr,Host,490 - 612,0.90,0.80
Cr,Comparison,5609 - 7477,0.75,0.55
CrII,Comparison,1870 - 3738,0.95,0.95
CrII,Host,245 - 367,0.90,0.80
f_bv,Host,368 - 489,0.90,0.90
f_bv,Comparison,7478 - 9347,0.95,0.95
f_dist,Comparison,7478 - 9347,0.95,0.95
f_dist,Host,490 - 612,0.95,0.90
f_logg,Comparison,7478 - 9347,0.95,0.95
f_logg,Host,490 - 612,0.95,0.90
f_mass,Comparison,5609 - 7477,0.95,0.95
f_mass,Host,368 - 489,0.90,0.90
f_radius,Comparison,7478 - 9347,0.95,0.95
f_radius,Host,490 - 612,0.95,0.90
f_teff,Host,490 - 612,0.95,0.90
f_teff,Comparison,7478 - 9347,0.95,0.95
f_vmag,Comparison,7478 - 9347,0.95,0.95
f_vmag,Host,368 - 489,0.95,0.90
Fe,Comparison,7478 - 9347,0.85,0.80
Fe,Host,490 - 612,0.90,0.80
Mg,Comparison,7478 - 9347,0.10,0.10
Mg,Host,490 - 612,0.90,0.85
Mn,Host,490 - 612,0.45,0.20
Mn,Comparison,5609 - 7477,0.95,0.95
Na,Host,490 - 612,0.80,0.70
Na,Comparison,5609 - 7477,0.90,0.85
Ni,Comparison,7478 - 9347,0.90,0.85
Ni,Host,490 - 612,0.85,0.75
Sc,Comparison,3739 - 5608,0.90,0.80
Sc,Host,368 - 489,0.90,0.80
ScII,Host,245 - 367,0.90,0.80
ScII,Comparison,3739 - 5608,0.10,0.10
Si,Host,490 - 612,0.90,0.85
Si,Comparison,7478 - 9347,0.40,0.10
Ti,Host,490 - 612,0.90,0.85
Ti,Comparison,7478 - 9347,0.65,0.50
TiII,Host,368 - 489,0.90,0.80
TiII,Comparison,1870 - 3738,0.30,0.10
V,Host,490 - 612,0.90,0.80
V,Comparison,5609 - 7477,0.25,0.10
Y,Comparison,3739 - 5608,0.55,0.35
Y,Host,368 - 489,0.90,0.85
YII,Comparison,1870 - 3738,0.10,0.10
YII,Host,123 - 244,0.80,0.65
