Feature,LabelType,BinSampleSize,2Sigma_Threshold,3Sigma_Threshold
Al,Host,490 - 612,0.9,0.9
Al,Comparison,5609 - 7477,0.95,0.9
BaII,Comparison,3739 - 5608,0.55,0.35
BaII,Host,245 - 367,0.75,0.7
C,Comparison,5609 - 7477,0.85,0.8
C,Host,490 - 612,0.85,0.75
Ca,Host,490 - 612,0.9,0.85
Ca,Comparison,7478 - 9347,0.55,0.4
CeII,Host,123 - 244,0.85,0.75
CeII,Comparison,3739 - 5608,0.6,0.45
Co,Comparison,3739 - 5608,0.9,0.8
Co,Host,368 - 489,0.9,0.8
Cr,Host,490 - 612,0.8,0.65
Cr,Comparison,5609 - 7477,0.95,0.9
CrII,Comparison,1870 - 3738,0.95,0.95
CrII,Host,245 - 367,0.9,0.8
Cu,Host,245 - 367,0.8,0.65
Cu,Comparison,3739 - 5608,0.9,0.85
EuII,Comparison,1870 - 3738,0.75,0.65
EuII,Host,123 - 244,0.8,0.75
f_u,Comparison,5609 - 7477,0.9,0.8
f_u,Host,245 - 367,0.35,0.05
f_v,Comparison,5609 - 7477,0.95,0.95
f_v,Host,245 - 367,0.9,0.85
f_w,Comparison,5609 - 7477,0.95,0.9
f_w,Host,245 - 367,0.75,0.6
Fe,Host,490 - 612,0.9,0.8
Fe,Comparison,7478 - 9347,0.85,0.8
LaII,Comparison,1870 - 3738,0.05,0.05
LaII,Host,123 - 244,0.8,0.7
Li,Host,245 - 367,0.9,0.85
Li,Comparison,1870 - 3738,0.95,0.95
Mg,Comparison,7478 - 9347,0.05,0.05
Mg,Host,490 - 612,0.9,0.85
Mn,Host,490 - 612,0.45,0.2
Mn,Comparison,5609 - 7477,0.95,0.95
N,Host,368 - 489,0.8,0.7
N,Comparison,1870 - 3738,0.05,0.05
Na,Host,490 - 612,0.8,0.7
Na,Comparison,5609 - 7477,0.9,0.85
NdII,Comparison,3739 - 5608,0.7,0.55
NdII,Host,123 - 244,0.85,0.75
Ni,Comparison,7478 - 9347,0.9,0.9
Ni,Host,490 - 612,0.85,0.75
O,Host,490 - 612,0.95,0.9
O,Comparison,5609 - 7477,0.95,0.95
S,Comparison,1870 - 3738,0.9,0.85
S,Host,245 - 367,0.85,0.75
Sc,Host,368 - 489,0.9,0.8
Sc,Comparison,3739 - 5608,0.9,0.8
ScII,Host,245 - 367,0.9,0.8
ScII,Comparison,3739 - 5608,0.05,0.05
Si,Comparison,7478 - 9347,0.4,0.1
Si,Host,490 - 612,0.9,0.85
SmII,Comparison,1870 - 3738,0.8,0.7
SmII,Host,123 - 244,0.75,0.65
Sr,Host,123 - 244,0.7,0.55
Sr,Comparison,1870 - 3738,0.45,0.25
Ti,Host,490 - 612,0.9,0.85
Ti,Comparison,7478 - 9347,0.65,0.5
TiII,Host,368 - 489,0.9,0.8
TiII,Comparison,1870 - 3738,0.35,0.05
V,Comparison,5609 - 7477,0.95,0.95
V,Host,490 - 612,0.9,0.8
Y,Host,368 - 489,0.5,0.35
Y,Comparison,3739 - 5608,0.95,0.95
YII,Host,123 - 244,0.8,0.65
YII,Comparison,1870 - 3738,0.05,0.05
Zn,Comparison,3739 - 5608,0.95,0.9
Zn,Host,245 - 367,0.05,0.05
Zr,Host,123 - 244,0.7,0.65
Zr,Comparison,3739 - 5608,0.65,0.45
ZrII,Host,123 - 244,0.75,0.65
ZrII,Comparison,1870 - 3738,0.5,0.35
