Feature,LabelType,BinSampleSize,2Sigma_Threshold,3Sigma_Threshold
Al,Comparison,5609 - 7477,0.85,0.75
f_teff,Host,490 - 612,0.95,0.90
f_dist,Comparison,7478 - 9347,0.95,0.95
Mn,Comparison,5609 - 7477,0.95,0.95
O,Host,490 - 612,0.85,0.75
f_mass,Comparison,5609 - 7477,0.95,0.95
Y,Host,368 - 489,0.90,0.85
Na,Comparison,5609 - 7477,0.90,0.85
ScII,Host,245 - 367,0.90,0.80
Si,Host,490 - 612,0.90,0.85
YII,Comparison,1870 - 3738,0.05,0.05
Ca,Comparison,7478 - 9347,0.55,0.40
TiII,Host,368 - 489,0.90,0.80
f_vmag,Comparison,7478 - 9347,0.95,0.95
Ti,Comparison,7478 - 9347,0.65,0.50
f_radius,Host,490 - 612,0.95,0.90
C,Comparison,5609 - 7477,0.85,0.80
Ti,Host,490 - 612,0.90,0.85
Ca,Host,490 - 612,0.90,0.85
f_logg,Comparison,7478 - 9347,0.95,0.95
Si,Comparison,7478 - 9347,0.40,0.10
V,Comparison,5609 - 7477,0.25,0.05
Na,Host,490 - 612,0.80,0.70
f_bv,Host,368 - 489,0.90,0.90
YII,Host,123 - 244,0.80,0.65
Mn,Host,490 - 612,0.45,0.20
Al,Host,490 - 612,0.85,0.75
Sc,Comparison,3739 - 5608,0.90,0.80
f_vmag,Host,368 - 489,0.95,0.90
f_dist,Host,490 - 612,0.95,0.90
ScII,Comparison,3739 - 5608,0.05,0.05
f_radius,Comparison,7478 - 9347,0.95,0.95
f_teff,Comparison,7478 - 9347,0.95,0.95
Fe,Comparison,7478 - 9347,0.70,0.65
O,Comparison,5609 - 7477,0.80,0.70
Mg,Host,490 - 612,0.90,0.85
f_mass,Host,368 - 489,0.90,0.90
TiII,Comparison,1870 - 3738,0.35,0.05
Y,Comparison,3739 - 5608,0.65,0.45
Mg,Comparison,7478 - 9347,0.05,0.05
Fe,Host,490 - 612,0.90,0.85
f_logg,Host,490 - 612,0.95,0.90
C,Host,490 - 612,0.85,0.75
f_bv,Comparison,7478 - 9347,0.95,0.95
Sc,Host,368 - 489,0.90,0.80
V,Host,490 - 612,0.90,0.80
