obs_id,target
723S-hi56889.95646,KIC 10002866
1598S-hi57202.07562,KIC 10004738
1596S-hi56192.79616,KIC 10027323
1596Sc-hi56192.79616,KIC 10027323
1888S-hi56104.07776,KIC 10063802
991S-hi55707.11596,KIC 10154388
1078Sc-hi56195.87543,KIC 10166274
82S-hi55415.00347,KIC 10187017
82Sc-hi56208.79748,KIC 10187017
82Sc-hi56469.07603,KIC 10187017
82Sc-hi56473.91879,KIC 10187017
82Sc-hi56475.87005,KIC 10187017
82Sc-hi56482.85084,KIC 10187017
82Sc-hi56483.89320,KIC 10187017
82Sc-hi56484.79757,KIC 10187017
82Sc-hi56485.85060,KIC 10187017
82Sc-hi56486.92482,KIC 10187017
82Sc-hi56487.80065,KIC 10187017
82Sc-hi56489.83459,KIC 10187017
82Sc-hi56493.93025,KIC 10187017
82Sc-hi56497.99322,KIC 10187017
82Sc-hi56506.90269,KIC 10187017
82Sc-hi56507.89103,KIC 10187017
82Sc-hi56507.94054,KIC 10187017
82Sc-hi56512.85204,KIC 10187017
82Sc-hi56513.88260,KIC 10187017
82Sc-hi56518.88916,KIC 10187017
82Sc-hi56519.79515,KIC 10187017
82Sc-hi56521.81376,KIC 10187017
82Sc-hi56522.96305,KIC 10187017
82Sc-hi56523.79980,KIC 10187017
82Sc-hi56524.87705,KIC 10187017
82Sc-hi56525.76991,KIC 10187017
82Sc-hi56530.82095,KIC 10187017
82Sc-hi56531.86610,KIC 10187017
82Sc-hi56532.90462,KIC 10187017
82Sc-hi56533.83480,KIC 10187017
82Sc-hi56826.95966,KIC 10187017
82Sc-hi56843.04763,KIC 10187017
82Sc-hi56845.82799,KIC 10187017
82Sc-hi56866.98990,KIC 10187017
82Sc-hi57208.05616,KIC 10187017
82Sc-hi57216.05119,KIC 10187017
82ScH1-hi55312.07853,KIC 10187017
82ScH1-hi55373.83010,KIC 10187017
82ScH1-hi55402.92243,KIC 10187017
82ScH1-hi55414.82456,KIC 10187017
82ScH1-hi55415.00347,KIC 10187017
82ScH1-hi55428.77677,KIC 10187017
82ScH1-hi55431.75423,KIC 10187017
82ScH1-hi55431.76649,KIC 10187017
82ScH1-hi55439.77455,KIC 10187017
82ScH1-hi55440.88441,KIC 10187017
82ScH1-hi55752.08267,KIC 10187017
82ScH1-hi55752.92363,KIC 10187017
82ScH1-hi55752.94061,KIC 10187017
82ScH1-hi55759.88802,KIC 10187017
82ScH1-hi55760.82541,KIC 10187017
82ScH1-hi55787.78263,KIC 10187017
82ScH1-hi55788.79632,KIC 10187017
82ScH1-hi55794.98928,KIC 10187017
82ScH1-hi55795.87097,KIC 10187017
82ScH1-hi55809.76834,KIC 10187017
82ScH1-hi55810.76614,KIC 10187017
82ScH1-hi55811.84683,KIC 10187017
82ScH1-hi55814.77516,KIC 10187017
82ScH1-hi56110.04908,KIC 10187017
82ScH1-hi56110.87765,KIC 10187017
82ScH1-hi56111.88520,KIC 10187017
82ScH1-hi56112.91060,KIC 10187017
82ScH1-hi56113.89241,KIC 10187017
82ScH1-hi56115.09788,KIC 10187017
82ScH1-hi56133.87733,KIC 10187017
82ScH1-hi56134.91329,KIC 10187017
82ScH1-hi56141.04545,KIC 10187017
82ScH1-hi56144.83518,KIC 10187017
82ScH1-hi56145.83581,KIC 10187017
82ScH1-hi56166.82230,KIC 10187017
82ScH1-hi56172.78088,KIC 10187017
730S-hi56028.06187,KIC 10227020
730ScH1-hi56028.06187,KIC 10227020
733S-hi56172.88860,KIC 10271806
104S-hi55436.85706,KIC 10318874
104Sc-hi56525.81600,KIC 10318874
104Sc-hi56710.13075,KIC 10318874
104Sc-hi56829.86731,KIC 10318874
104Sc-hi57228.93859,KIC 10318874
104ScH1-hi55377.84190,KIC 10318874
104ScH1-hi55378.93428,KIC 10318874
104ScH1-hi55379.96165,KIC 10318874
104ScH1-hi55433.76124,KIC 10318874
104ScH1-hi55434.92788,KIC 10318874
104ScH1-hi55436.85706,KIC 10318874
104ScH1-hi55438.85211,KIC 10318874
104ScH1-hi55438.88150,KIC 10318874
104ScH1-hi55465.82985,KIC 10318874
104ScH1-hi55521.72985,KIC 10318874
104ScH1-hi55697.04911,KIC 10318874
104ScH1-hi55698.03702,KIC 10318874
