Classes_Y_N_Jupiters
Star Name,Hot Jupiter Host?
KIC 11446443,Yes
KIC 10666592,Yes
KIC 10748390,Yes
KIC 11853905,No
KIC 6922244,Yes
KIC 5812701,Yes
KIC 11804465,Yes
KIC 9631995,Yes
KIC 6521045,No
KIC 8866102,No
KIC 10905239,Yes
KIC 9527334,No
KIC 11554435,Yes
KIC 3544595,Yes
KIC 6850504,No
KIC 11904151,No
KIC 10187017,No
KIC 2571238,No
KIC 5866724,No
KIC 10593626,No
KIC 6462863,Yes
KIC 5780885,Yes
KIC 10318874,Yes
KIC 8711794,No
KIC 11250587,No
KIC 4914423,Yes
KIC 9450647,No
KIC 10984090,No
KIC 8395660,No
KIC 10875245,No
KIC 3531558,No
KIC 8349582,No
KIC 5094751,No
KIC 8359498,Yes
KIC 11359879,Yes
KIC 8644288,Yes
KIC 8559644,Yes
KIC 4180280,No
KIC 5735762,Yes
KIC 3835670,No
KIC 7626506,No
KIC 8394721,Yes
KIC 12252424,No
KIC 8030148,No
KIC 10925104,No
KIC 6541920,No
KIC 8972058,No
KIC 5084942,No
KIC 8107380,No
KIC 9527915,No
KIC 2441495,No
KIC 11666881,No
KIC 11512246,No
KIC 7831264,No
KIC 8692861,No
KIC 11402995,No
KIC 6442377,No
KIC 9663113,No
KIC 9573539,No
KIC 12019440,Yes
KIC 11502867,Yes
KIC 2987027,Yes
KIC 10619192,Yes
KIC 10723750,Yes
KIC 4833421,Yes
KIC 8041216,No
KIC 11288051,No
KIC 4349452,Yes
KIC 8478994,No
KIC 11295426,Yes
KIC 5364071,No
KIC 9390653,No
KIC 9757613,No
KIC 5794240,Yes
KIC 5514383,No
KIC 8292840,No
KIC 5383248,No
KIC 11807274,No
KIC 12024120,No
KIC 9451706,No
KIC 3102384,Yes
KIC 8077137,No
KIC 10586004,No
KIC 11133306,No
KIC 11401755,No
KIC 4141376,No
KIC 4143755,No
KIC 5088536,No
KIC 6196457,No
KIC 11259686,No
KIC 11547513,No
KIC 11802615,No
KIC 11905011,No
KIC 2692377,No
KIC 3642289,No
KIC 5966322,No
KIC 6063220,No
KIC 6071903,No
KIC 7050989,No
